rank	country	code	point	prev_point	prev_rank
1	Germany	GER	1729	1725	0
2	Argentina	ARG	1534	1538	0
3	Colombia	COL	1456	1450	0
4	Belgium	BEL	1430	1417	0
5	Netherlands	NED	1385	1374	0
6	Brazil	BRA	1333	1316	0
7	Portugal	POR	1189	1160	0
8	France	FRA	1168	1160	-1
9	Uruguay	URU	1146	1135	1
10	Spain	ESP	1144	1142	-1
11	Switzerland	SUI	1117	1091	1
12	Italy	ITA	1112	1103	-1
13	Costa Rica	CRC	1074	995	3
14	Chile	CHI	1037	1016	0
15	England	ENG	1028	1032	-2
16	Romania	ROU	1022	1014	-1
17	Czech Republic	CZE	990	987	0
18	Algeria	ALG	981	948	0
19	Croatia	CRO	945	946	0
20	Cote d`Ivoire	CIV	932	833	8
21	Mexico	MEX	912	913	-1
22	Slovakia	SVK	903	891	-1
23	Austria	AUT	881	863	0
24	Greece	GRE	871	856	0
25	Ghana	GHA	864	714	12
26	Tunisia	TUN	860	873	-4
27	Ukraine	UKR	859	854	-2
28	Denmark	DEN	846	804	2
29	Ecuador	ECU	840	852	-3
30	Bosnia and Herzegovina	BIH	832	817	-1
31	USA	USA	824	836	-4
32	Israel	ISR	805	788	0
33	Russia	RUS	792	789	-2
34	Wales	WAL	764	748	0
35	Cape Verde Islands	CPV	756	693	5
36	Senegal	SEN	744	734	-1
37	Iceland	ISL	743	761	-4
38	Scotland	SCO	738	729	-2
39	Serbia	SRB	723	713	-1
40	Poland	POL	709	680	1
41	Iran	IRN	701	588	10
42	Nigeria	NGA	664	654	1
43	Guinea	GUI	662	706	-4
44	Sweden	SWE	654	646	0
45	Cameroon	CMR	646	665	-3
46	Congo DR	COD	641	548	11
47	Slovenia	SVN	640	622	-1
48	Hungary	HUN	634	632	-3
49	Congo	CGO	630	529	12
49	Equatorial Guinea	EQG	630	260	69
51	Northern Ireland	NIR	626	615	-4
52	Turkey	TUR	619	604	-4
53	Mali	MLI	613	603	-4
54	Korea Republic	KOR	608	487	15
55	Japan	JPN	605	563	-1
56	South Africa	RSA	592	587	-4
57	Egypt	EGY	590	531	3
58	Gabon	GAB	585	527	4
59	Peru	PER	566	565	-6
60	Zambia	ZAM	556	594	-10
61	Panama	PAN	555	551	-6
62	Trinidad and Tobago	TRI	551	551	-7
63	Australia	AUS	548	329	37
63	Albania	ALB	548	543	-5
65	Montenegro	MNE	537	537	-6
66	United Arab Emirates	UAE	529	408	14
67	Republic of Ireland	IRL	521	519	-2
68	Burkina Faso	BFA	513	523	-4
69	Norway	NOR	512	500	-2
70	Bulgaria	BUL	506	506	-4
71	Uzbekistan	UZB	493	464	0
72	Rwanda	RWA	492	494	-4
73	Finland	FIN	475	468	-3
74	Armenia	ARM	470	436	5
75	Togo	TOG	465	527	-13
76	Uganda	UGA	464	441	1
77	Honduras	HON	459	460	-5
78	Haiti	HAI	454	458	-5
79	Venezuela	VEN	440	371	8
79	Jamaica	JAM	440	449	-4
79	Paraguay	PAR	440	442	-3
82	China PR	CHN	429	339	14
82	Guatemala	GUA	429	458	-9
84	Angola	ANG	391	404	-3
85	Estonia	EST	385	382	-2
86	Sierra Leone	SLE	382	374	-1
87	El Salvador	SLV	381	358	3
88	Morocco	MAR	378	393	-6
89	Cyprus	CYP	376	372	-3
90	Mozambique	MOZ	371	332	8
91	Oman	OMA	368	346	2
92	Bolivia	BOL	362	375	-8
93	Malawi	MWI	361	361	-5
94	Iraq	IRQ	360	269	20
95	Benin	BEN	359	359	-6
96	Lithuania	LTU	355	355	-5
97	Jordan	JOR	353	346	-4
98	Saudi Arabia	KSA	351	318	4
99	Antigua and Barbuda	ATG	344	344	-4
100	Latvia	LVA	342	339	-4
