rank	country	code	point	prev_point	prev_rank	
1	Brazil	BRA	852	856	0
2	France	FRA	784	787	0
3	Spain	ESP	783	780	0
4	Argentina	ARG	768	750	1
5	Germany	GER	762	765	-1
6	Netherlands	NED	754	746	0
7	Turkey	TUR	735	736	0
8	England	ENG	731	734	0
9	Mexico	MEX	729	732	0
10	USA	USA	721	723	0
11	Denmark	DEN	707	707	1
12	Portugal	POR	707	710	-1
13	Italy	ITA	702	705	0
14	Republic of Ireland	IRL	697	697	0
15	Czech Republic	CZE	686	687	0
16	Belgium	BEL	684	686	0
17	Cameroon	CMR	682	684	0
18	Paraguay	PAR	676	679	0
19	Serbia and Montenegro	SCG	674	677	0
20	Korea Republic	KOR	668	669	0
21	Russia	RUS	664	650	2
22	Costa Rica	CRC	650	651	-1
23	Romania	ROU	649	648	3
24	Japan	JPN	648	650	-2
25	Norway	NOR	648	648	0
26	Sweden	SWE	646	649	-2
27	Senegal	SEN	644	647	0
28	Uruguay	URU	641	643	0
29	Nigeria	NGA	640	642	0
30	South Africa	RSA	633	636	0
31	Ecuador	ECU	632	634	0
32	Iran	IRN	627	627	2
33	Croatia	CRO	626	629	-1
34	Poland	POL	626	628	-1
35	Morocco	MAR	620	623	0
36	Slovenia	SVN	617	620	0
37	Colombia	COL	616	617	0
38	Saudi Arabia	KSA	610	612	0
39	Egypt	EGY	593	596	0
40	Honduras	HON	589	591	0
41	Switzerland	SUI	589	576	3
42	Tunisia	TUN	586	586	-1
43	Finland	FIN	581	580	0
44	Bulgaria	BUL	580	582	-2
45	Israel	ISR	579	568	1
46	Ukraine	UKR	576	574	-1
47	Australia	AUS	575	557	3
48	Greece	GRE	575	563	0
49	Trinidad and Tobago	TRI	564	566	-2
50	New Zealand	NZL	560	562	-1
51	Jamaica	JAM	553	555	0
52	Iraq	IRQ	552	554	0
53	Wales	WAL	552	554	0
54	Thailand	THA	543	545	0
55	Austria	AUT	538	541	0
56	Hungary	HUN	538	532	2
57	Slovakia	SVK	533	535	-1
58	Zimbabwe	ZIM	531	533	-1
59	Ghana	GHA	526	529	0
60	Iceland	ISL	525	527	1
61	Scotland	SCO	525	528	-1
62	Estonia	EST	523	525	0
63	China PR	CHN	517	518	1
64	Qatar	QAT	516	524	-1
65	Algeria	ALG	514	514	0
66	Cote d`Ivoire	CIV	508	510	0
67	Congo DR	COD	507	509	0
68	Zambia	ZAM	501	503	0
69	Venezuela	VEN	499	501	0
70	Canada	CAN	498	499	0
71	Jordan	JOR	498	499	0
72	Cuba	CUB	493	496	0
73	Haiti	HAI	493	495	0
74	Mali	MLI	488	489	0
75	Belarus	BLR	487	489	0
76	Latvia	LVA	487	480	5
77	Burkina Faso	BFA	485	487	-1
78	Angola	ANG	483	485	-1
79	Chile	CHI	483	485	-1
80	Kenya	KEN	480	481	-1
81	Guatemala	GUA	478	480	-1
82	Kuwait	KUW	477	479	0
83	Cyprus	CYP	475	477	0
84	Indonesia	IDN	474	476	0
85	FYR Macedonia	MKD	471	470	1
86	Peru	PER	470	472	-1
87	Bosnia and Herzegovina	BIH	467	462	1
88	Togo	TOG	464	466	-1
89	Syria	SYR	460	462	0
90	Liberia	LBR	459	461	0
91	United Arab Emirates	UAE	458	460	0
92	Georgia	GEO	455	456	0
93	Barbados	BRB	449	423	8
94	Vietnam	VIE	449	451	-1
95	El Salvador	SLV	448	426	4
96	Libya	LBY	436	436	-2
97	Bahrain	BHR	432	433	-2
98	Bolivia	BOL	431	433	-2
99	Malawi	MWI	428	430	-2
100	Albania	ALB	0	428	-2
