rank	country	code	point	prev_point	prev_rank
1	Brazil	BRA	856	856	0
2	France	FRA	787	787	0
3	Spain	ESP	780	779	0
4	Germany	GER	765	761	0
5	Argentina	ARG	750	751	0
6	Netherlands	NED	746	746	0
7	Turkey	TUR	736	729	2
8	England	ENG	734	734	-1
9	Mexico	MEX	732	732	-1
10	USA	USA	723	723	0
11	Portugal	POR	710	710	0
12	Denmark	DEN	707	707	0
13	Italy	ITA	705	705	0
14	Republic of Ireland	IRL	697	697	0
15	Czech Republic	CZE	687	687	0
16	Belgium	BEL	686	682	1
17	Cameroon	CMR	684	685	-1
18	Paraguay	PAR	679	679	0
19	Serbia and Montenegro	SCG	677	678	0
20	Korea Republic	KOR	669	669	0
21	Costa Rica	CRC	651	652	0
22	Japan	JPN	650	650	0
23	Russia	RUS	650	650	0
24	Sweden	SWE	649	649	1
25	Norway	NOR	648	648	1
26	Romania	ROU	648	649	-2
27	Senegal	SEN	647	646	0
28	Uruguay	URU	643	643	0
29	Nigeria	NGA	642	642	0
30	South Africa	RSA	636	636	0
31	Ecuador	ECU	634	634	0
32	Croatia	CRO	629	629	0
33	Poland	POL	628	628	1
34	Iran	IRN	627	628	-1
35	Morocco	MAR	623	621	0
36	Slovenia	SVN	620	620	0
37	Colombia	COL	617	617	0
38	Saudi Arabia	KSA	612	608	0
39	Egypt	EGY	596	592	0
40	Honduras	HON	591	591	0
41	Tunisia	TUN	586	586	0
42	Bulgaria	BUL	582	582	0
43	Finland	FIN	580	580	0
44	Switzerland	SUI	576	576	0
45	Ukraine	UKR	574	575	0
46	Israel	ISR	568	568	0
47	Trinidad and Tobago	TRI	566	567	0
48	Greece	GRE	563	563	0
49	New Zealand	NZL	562	561	0
50	Australia	AUS	557	557	0
51	Jamaica	JAM	555	555	0
52	Iraq	IRQ	554	549	1
53	Wales	WAL	554	554	-1
54	Thailand	THA	545	506	12
55	Austria	AUT	541	541	-1
56	Slovakia	SVK	535	535	-1
57	Zimbabwe	ZIM	533	533	0
58	Hungary	HUN	532	533	-2
59	Ghana	GHA	529	525	2
60	Scotland	SCO	528	528	-1
61	Iceland	ISL	527	528	-3
62	Estonia	EST	525	525	-2
63	Qatar	QAT	524	519	-1
64	China PR	CHN	518	512	-1
65	Algeria	ALG	514	505	3
66	Cote d`Ivoire	CIV	510	510	-2
67	Congo DR	COD	509	509	-2
68	Zambia	ZAM	503	506	-1
69	Venezuela	VEN	501	501	0
70	Canada	CAN	499	500	0
71	Jordan	JOR	499	481	6
72	Cuba	CUB	496	496	-1
73	Haiti	HAI	495	496	-1
74	Mali	MLI	489	490	-1
75	Belarus	BLR	489	489	-1
76	Burkina Faso	BFA	487	487	-1
77	Angola	ANG	485	485	-1
78	Chile	CHI	485	468	6
79	Kenya	KEN	481	477	2
80	Guatemala	GUA	480	480	-2
81	Latvia	LVA	480	480	-2
82	Kuwait	KUW	479	470	1
83	Cyprus	CYP	477	477	-3
84	Indonesia	IDN	476	389	26
85	Peru	PER	472	472	-3
86	FYR Macedonia	MKD	470	466	-1
87	Togo	TOG	466	466	-1
88	Bosnia and Herzegovina	BIH	462	462	-1
89	Syria	SYR	462	449	2
90	Liberia	LBR	461	461	-2
91	United Arab Emirates	UAE	460	458	-2
92	Georgia	GEO	456	456	-2
93	Vietnam	VIE	451	392	15
94	Libya	LBY	436	412	10
95	Bahrain	BHR	433	410	10
96	Bolivia	BOL	433	433	-4
97	Malawi	MWI	430	426	-2
98	Albania	ALB	428	428	-5
99	El Salvador	SLV	426	427	-5
100	Oman	OMA	433	426	-4
