rank	country	code	point	prev_point	prev_rank	
1	Argentina	ARG	1621	1646	0
2	Germany	GER	1465	1347	1
3	Brazil	BRA	1410	1323	1
4	Belgium	BEL	1382	1369	-2
5	Colombia	COL	1361	1323	-1
6	Chile	CHI	1273	1284	0
7	France	FRA	1271	1188	1
8	Portugal	POR	1231	1228	-1
9	Uruguay	URU	1175	1173	0
10	Spain	ESP	1168	1141	1
11	Wales	WAL	1113	1161	-1
12	England	ENG	1090	1130	0
13	Italy	ITA	1082	1124	0
14	Switzerland	SUI	1071	1020	2
15	Poland	POL	1029	984	2
16	Croatia	CRO	1027	1059	-2
17	Mexico	MEX	1001	1057	-2
18	Costa Rica	CRC	971	943	0
19	Ecuador	ECU	932	917	0
20	Netherlands	NED	901	861	4
21	Iceland	ISL	898	829	6
22	Hungary	HUN	891	913	-2
23	Peru	PER	865	841	2
24	USA	USA	852	874	-2
25	Turkey	TUR	843	885	-4
26	Slovakia	SVK	840	820	2
27	Iran	IRN	837	712	10
28	Bosnia and Herzegovina	BIH	807	863	-5
29	Ukraine	UKR	803	799	0
30	Austria	AUT	792	839	-4
31	Cote d`Ivoire	CIV	790	752	3
32	Senegal	SEN	783	684	7
33	Republic of Ireland	IRL	776	774	-2
34	Romania	ROU	746	773	-2
35	Algeria	ALG	741	749	0
36	Northern Ireland	NIR	739	798	-6
37	Paraguay	PAR	738	720	-1
38	Tunisia	TUN	721	662	4
39	Sweden	SWE	715	677	2
40	Czech Republic	CZE	663	762	-7
40	Australia	AUS	663	643	5
42	Greece	GRE	656	622	6
43	Serbia	SRB	650	602	7
44	Korea Republic	KOR	640	634	3
45	Ghana	GHA	628	658	-2
46	Egypt	EGY	626	587	7
47	Albania	ALB	619	678	-7
48	Uzbekistan	UZB	617	621	1
49	Congo DR	COD	609	589	2
50	Denmark	DEN	606	637	-4
51	Japan	JPN	601	574	5
52	Slovenia	SVN	595	502	15
53	Russia	RUS	594	685	-15
54	Saudi Arabia	KSA	593	588	-2
55	Congo	CGO	575	585	-1
56	Montenegro	MNE	570	326	49
57	Scotland	SCO	569	652	-13
58	Mali	MLI	568	580	-3
59	Cameroon	CMR	567	565	0
60	Nigeria	NGA	562	534	4
60	Morocco	MAR	562	570	-2
62	South Africa	RSA	559	539	0
63	Panama	PAN	551	539	-1
64	Guinea	GUI	539	549	-3
65	Trinidad and Tobago	TRI	533	490	4
66	Benin	BEN	525	483	5
67	Burkina Faso	BFA	519	502	0
68	Venezuela	VEN	516	562	-8
69	Guinea-Bissau	GNB	515	474	4
70	United Arab Emirates	UAE	513	504	-4
71	Cape Verde Islands	CPV	508	475	1
72	Uganda	UGA	500	509	-7
73	St. Kitts and Nevis	SKN	472	457	4
74	Faroe Islands	FRO	469	319	37
75	Jamaica	JAM	464	430	5
76	Libya	LBY	461	466	0
77	Curaçao	CUW	452	299	45
77	Belarus	BLR	452	573	-20
79	Israel	ISR	450	346	19
80	Bolivia	BOL	444	468	-5
81	Norway	NOR	438	487	-11
82	Antigua and Barbuda	ATG	435	381	7
83	Guatemala	GUA	434	443	-4
84	China PR	CHN	419	445	-6
85	Kenya	KEN	416	378	6
86	Honduras	HON	411	421	-4
87	Haiti	HAI	405	372	6
88	Azerbaijan	AZE	404	252	45
89	Bulgaria	BUL	395	470	-15
90	Kazakhstan	KAZ	386	411	-7
91	Qatar	QAT	385	389	-6
92	Equatorial Guinea	EQG	380	424	-11
93	Togo	TOG	375	334	7
94	Zambia	ZAM	374	377	-2
95	Mozambique	MOZ	359	381	-6
96	Syria	SYR	357	315	18
97	Sierra Leone	SLE	352	372	-4
98	Lithuania	LTU	347	311	19
99	Kyrgyzstan	KGZ	343	324	9
100	Malawi	MWI	338	342	-1
