rank	country	code	point	prev_point	prev_rank
1	Argentina	ARG	1473	1496	2
2	Germany	GER	1411	1775	-1
3	Belgium	BEL	1244	1509	-1
4	Colombia	COL	1217	1435	0
5	Netherlands	NED	1204	1378	1
6	Brazil	BRA	1186	1392	-1
7	Portugal	POR	1177	1229	0
8	Romania	ROU	1166	1115	4
9	England	ENG	1157	1051	6
10	Wales	WAL	1155	929	12
11	Chile	CHI	1129	989	8
12	Spain	ESP	1110	1147	-2
13	Uruguay	URU	1036	1183	-5
14	Croatia	CRO	1023	992	4
15	Slovakia	SVK	1016	1012	2
15	Austria	AUT	1016	946	5
17	Italy	ITA	1001	1101	-4
18	Switzerland	SUI	997	1146	-7
19	Algeria	ALG	941	941	2
20	Czech Republic	CZE	933	1036	-4
21	Cote d`Ivoire	CIV	917	916	3
22	France	FRA	882	1164	-13
23	Iceland	ISL	877	769	14
24	Denmark	DEN	876	808	5
25	Ghana	GHA	827	800	9
26	Bosnia and Herzegovina	BIH	819	802	6
27	Ukraine	UKR	791	784	8
28	Russia	RUS	782	833	-2
29	Scotland	SCO	774	818	-1
30	Poland	POL	769	802	2
31	Hungary	HUN	763	685	11
32	Tunisia	TUN	758	808	-3
33	Sweden	SWE	752	737	6
34	USA	USA	748	823	-7
35	Ecuador	ECU	738	806	-4
36	Albania	ALB	722	624	15
37	Northern Ireland	NIR	721	676	7
38	Iran	IRN	716	717	3
39	Senegal	SEN	715	782	-3
40	Mexico	MEX	697	926	-17
41	Costa Rica	CRC	695	1056	-27
42	Cameroon	CMR	672	641	7
43	Serbia	SRB	662	673	2
44	Greece	GRE	661	899	-19
45	Venezuela	VEN	643	497	27
46	Peru	PER	635	546	15
47	Congo	CGO	630	666	0
48	Turkey	TUR	627	590	9
49	Slovenia	SVN	626	653	-1
50	Japan	JPN	621	623	2
51	Israel	ISR	620	725	-11
52	Cape Verde Islands	CPV	608	746	-14
52	Republic of Ireland	IRL	608	581	8
52	Korea Republic	KOR	608	587	6
55	Egypt	EGY	606	596	0
56	Paraguay	PAR	603	382	29
57	Nigeria	NGA	601	681	-14
58	Guinea	GUI	591	673	-13
59	Australia	AUS	559	532	4
60	Congo DR	COD	555	591	-4
61	Mali	MLI	550	623	-9
62	Panama	PAN	549	597	-8
63	Equatorial Guinea	EQG	546	635	-13
64	Trinidad and Tobago	TRI	543	519	3
65	Gabon	GAB	524	583	-6
66	Bolivia	BOL	511	371	23
67	Norway	NOR	495	528	-3
68	Bulgaria	BUL	489	537	-6
69	United Arab Emirates	UAE	487	496	4
70	South Africa	RSA	483	515	-1
71	Zambia	ZAM	482	517	-3
72	Burkina Faso	BFA	481	520	-6
73	Uganda	UGA	467	504	-2
74	Faroe Islands	FRO	456	318	28
75	Uzbekistan	UZB	453	479	-1
76	Jamaica	JAM	437	524	-11
77	China PR	CHN	436	409	2
78	Rwanda	RWA	433	346	16
79	Haiti	HAI	428	442	-3
80	Honduras	HON	427	462	-5
81	Montenegro	MNE	423	513	-11
82	Estonia	EST	420	370	9
83	Togo	TOG	415	438	-6
84	Morocco	MAR	394	369	8
85	Cyprus	CYP	391	377	2
86	Iraq	IRQ	382	381	0
87	Latvia	LVA	377	390	-5
88	El Salvador	SLV	374	371	1
89	Armenia	ARM	373	383	-5
90	Sudan	SDN	371	292	18
90	Finland	FIN	371	410	-12
92	Angola	ANG	355	374	-4
92	Jordan	JOR	355	316	11
92	Saudi Arabia	KSA	355	329	6
95	Mozambique	MOZ	354	391	-14
96	Benin	BEN	345	289	14
96	Libya	LBY	345	238	23
96	Niger	NIG	345	251	21
96	Qatar	QAT	345	334	1
100	Belarus	BLR	341	400	-20
