rank	country	code	point	prev_point	prev_rank	
1	Netherlands	NED	1596	1542	1
2	Spain	ESP	1563	1588	-1
3	Germany	GER	1330	1305	0
4	England	ENG	1177	1146	2
5	Uruguay	URU	1174	1156	0
6	Brazil	BRA	1156	1202	-2
7	Italy	ITA	1110	1059	1
8	Portugal	POR	1060	1076	-1
9	Argentina	ARG	1017	1012	1
10	Croatia	CRO	1009	1033	-1
11	Chile	CHI	960	974	0
12	Norway	NOR	943	972	0
13	Russia	RUS	940	915	4
14	Greece	GRE	937	959	-1
15	Japan	JPN	918	924	-1
15	Cote d`Ivoire	CIV	918	922	0
15	France	FRA	918	920	1
18	Sweden	SWE	889	884	1
19	Montenegro	MNE	875	915	-2
20	Mexico	MEX	864	868	0
21	Denmark	DEN	841	857	0
22	Australia	AUS	837	834	0
23	Slovenia	SVN	816	833	0
24	Turkey	TUR	811	820	0
25	Paraguay	PAR	807	804	1
26	Peru	PER	806	805	-1
26	Slovakia	SVK	806	779	3
28	USA	USA	791	777	2
29	Serbia	SRB	784	798	-2
30	Switzerland	SUI	757	777	0
31	Republic of Ireland	IRL	754	752	2
32	Israel	ISR	746	771	0
33	Korea Republic	KOR	745	785	-5
34	Egypt	EGY	739	735	0
35	Colombia	COL	730	706	0
36	Ghana	GHA	726	696	0
37	Belgium	BEL	675	691	0
38	Nigeria	NGA	659	634	5
39	Bosnia and Herzegovina	BIH	656	642	2
40	Burkina Faso	BFA	646	661	-1
41	Belarus	BLR	645	636	1
42	Czech Republic	CZE	635	670	-4
43	Jamaica	JAM	623	632	1
44	Venezuela	VEN	615	648	-4
45	Hungary	HUN	613	603	2
46	Algeria	ALG	612	575	6
47	South Africa	RSA	602	597	2
48	Ukraine	UKR	598	620	-3
49	Senegal	SEN	591	619	-3
50	Honduras	HON	589	592	1
51	Bulgaria	BUL	586	598	-3
52	Cameroon	CMR	582	595	-2
53	Iran	IRN	559	564	1
54	Romania	ROU	558	571	-1
55	Scotland	SCO	554	513	6
56	Lithuania	LTU	552	526	2
57	Albania	ALB	546	524	2
57	Tunisia	TUN	546	556	-2
59	Northern Ireland	NIR	545	498	3
60	Costa Rica	CRC	530	531	-4
61	Morocco	MAR	529	494	2
62	Panama	PAN	524	487	3
63	Georgia	GEO	522	530	-6
64	Libya	LBY	504	494	-1
65	Poland	POL	498	474	4
66	Ecuador	ECU	491	478	1
67	Gabon	GAB	482	517	-7
68	Austria	AUT	472	479	-2
69	Guinea	GUI	464	475	-1
69	China PR	CHN	464	438	4
71	Armenia	ARM	456	462	-1
72	Cape Verde Islands	CPV	444	397	10
73	Malawi	MWI	436	439	-1
74	Zimbabwe	ZIM	434	380	12
75	El Salvador	SLV	431	401	3
76	Cyprus	CYP	427	398	4
76	Zambia	ZAM	427	436	-2
78	Botswana	BOT	424	440	-7
79	Finland	FIN	416	419	-4
80	Uganda	UGA	411	417	-4
81	Mali	MLI	408	416	-4
82	Uzbekistan	UZB	401	390	1
83	Benin	BEN	394	380	3
84	Latvia	LVA	388	388	0
85	Bolivia	BOL	380	398	-5
86	Estonia	EST	374	399	-7
87	Saudi Arabia	KSA	372	354	5
88	Moldova	MDA	364	383	-3
88	Qatar	QAT	364	371	1
90	FYR Macedonia	MKD	358	338	6
91	Trinidad and Tobago	TRI	355	379	-3
92	Jordan	JOR	348	364	-1
92	Sierra Leone	SLE	348	348	1
94	New Zealand	NZL	346	346	0
95	Kuwait	KUW	341	341	0
96	Angola	ANG	338	330	4
97	Syria	SYR	337	326	7
98	Sudan	SDN	329	333	-1
99	Cuba	CUB	327	330	1
99	Mozambique	MOZ	327	327	4
